Year,Compant,Job Title,Annual Salary,Location,Years of Experience,Gender,Masters Degree,Bachelors Degree,Doctorate Degree,Highschool,Some College,Education
2020,PwC,Business Analyst,115000,"Los Angeles, CA",5,Female,1,0,0,0,0,Master's Degree
2020,Fractal Analytics,Data Scientist,85000,"Bangalore, KA, India",4,Male,0,1,0,0,0,Bachelor's Degree
2020,Microsoft,Data Scientist,156000,"Seattle, WA",2,Male,0,0,1,0,0,PhD
2020,PwC,Business Analyst,25000,"Moscow, MC, Russia",8,Female,1,0,0,0,0,Master's Degree
2020,SAP,Business Analyst,41000,"Toronto, ON, Canada",2,Male,0,1,0,0,0,Bachelor's Degree
2020,Myntra,Data Scientist,60000,"Bengaluru, KA, India",5,Male,0,0,0,0,0,NA
2020,Google,Data Scientist,274000,"Irvine, CA",20,Male,0,0,1,0,0,PhD
2020,Google,Business Analyst,200000,"Mountain View, CA",8,Female,0,0,0,0,0,NA
2020,Procore,Business Analyst,105000,"Austin, TX",3,Male,0,1,0,0,0,Bachelor's Degree
2020,Capital One,Data Scientist,100000,"Toronto, ON, Canada",4,Male,0,1,0,0,0,Bachelor's Degree
2020,IBM,Data Scientist,110000,"New York, NY",0,Female,1,0,0,0,0,Master's Degree
2020,Booz Allen Hamilton,Data Scientist,90000,"Fairfax, VA",3,Female,0,1,0,0,0,Bachelor's Degree
2020,Swiss Re,Data Scientist,110000,"New York, NY",3,Female,1,0,0,0,0,Master's Degree
2020,Google,Data Scientist,500000,"London, EN, United Kingdom",10,Male,0,0,1,0,0,PhD
2020,Lyft,Data Scientist,200000,"San Francisco, CA",0,Male,0,1,0,0,0,Bachelor's Degree
2020,Humana,Data Scientist,146000,"Boston, MA",2,Male,1,0,0,0,0,Master's Degree
2020,IBM,Data Scientist,144000,"Armonk, NY",2,Male,1,0,0,0,0,Master's Degree
2020,Capital one,Business Analyst,115000,"Richmond, VA",3,Male,0,1,0,0,0,Bachelor's Degree
2020,Facebook,Data Scientist,220000,"Menlo Park, CA",5,Male,1,0,0,0,0,Master's Degree
